rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR
68	46.0	10000	0.75	generate_buckets	101010101010	99.8%	53.7%	0.1%
69	46.0	25000	0.75	replace_logits_cosine	11001100	93.8%	39.9%	4.0%
70	45.8	50000	0.25	replace_logits_cosine	001100110011	99.2%	52.5%	0.4%
71	45.8	50000	0.75	generate_buckets	101010101010	99.1%	52.4%	0.4%
72	45.8	25000	0.75	replace_logits_cosine	10101010	96.9%	47.7%	1.7%
73	45.7	50000	0.75	replace_logits_cosine	0101010101	98.2%	50.7%	0.9%
74	45.7	50000	0.5	replace_logits_cosine	001100110011	99.2%	52.7%	0.4%
75	45.7	50000	0.5	generate_buckets	101010101010	98.9%	52.2%	0.5%
76	45.6	25000	0.25	generate_buckets	01010101	90.8%	31.2%	7.0%
77	45.4	50000	0.75	replace_logits_cosine	0011001100	98.8%	52.3%	0.6%
78	45.1	25000	0.5	generate_buckets	101010101010	99.6%	54.2%	0.2%
79	45.1	10000	0.5	generate_buckets	101010101010	99.6%	54.1%	0.2%
80	45.0	25000	0.75	replace_logits_cosine	010101010101	99.3%	53.7%	0.3%
81	44.9	50000	0.25	replace_logits_cosine	0101010101	98.0%	51.2%	1.0%
82	44.8	25000	0.5	generate_buckets	11001100	86.9%	17.1%	12.5%
83	44.6	50000	0.25	generate_buckets	0011001100	94.8%	43.9%	3.1%
84	44.6	10000	0.25	replace_logits_cosine	010101010101	99.4%	54.3%	0.3%
85	44.5	10000	0.25	replace_logits_cosine	01010101	93.3%	40.2%	4.3%
86	44.5	25000	0.5	generate_buckets	0101010101	97.6%	50.8%	1.2%
87	44.4	50000	0.5	generate_buckets	0101010101	97.4%	50.4%	1.3%
88	44.3	10000	0.5	generate_buckets	0101010101	97.9%	51.5%	1.0%
89	43.8	10000	0.25	replace_logits_cosine	0101010101	97.1%	50.4%	1.5%
90	43.7	25000	0.5	replace_logits_cosine	10101010	95.6%	47.1%	2.4%
91	43.7	25000	0.5	replace_logits_cosine	010101010101	99.1%	54.6%	0.4%
92	43.5	10000	0.25	generate_buckets	01010101	90.7%	33.7%	6.8%
93	43.3	25000	0.25	replace_logits_cosine	001100110011	98.9%	54.6%	0.5%
94	42.9	50000	0.75	replace_logits_cosine	10101010	96.3%	49.5%	1.9%
95	42.8	25000	0.25	replace_logits_cosine	0101010101	96.2%	49.3%	2.0%
96	42.8	50000	0.25	replace_logits_cosine	0011001100	98.7%	54.6%	0.6%
97	42.8	25000	0.25	replace_logits_cosine	11001100	92.8%	40.8%	4.6%
98	42.6	10000	0.25	generate_buckets	0101010101	95.7%	48.3%	2.3%
99	42.6	25000	0.5	replace_logits_cosine	0101010101	96.7%	50.8%	1.7%
100	42.5	50000	0.25	generate_buckets	01010101	89.8%	31.8%	7.8%
101	42.3	50000	0.75	replace_logits_cosine	010101010101	99.4%	56.7%	0.2%
102	42.2	50000	0.25	replace_logits_cosine	010101010101	99.6%	57.0%	0.2%
103	41.7	50000	0.5	replace_logits_cosine	11001100	93.0%	42.5%	4.4%
104	41.6	25000	0.25	replace_logits_cosine	10101010	95.3%	48.7%	2.5%
105	41.5	10000	0.25	replace_logits_cosine	10101010	93.3%	43.6%	4.1%
106	41.3	50000	0.5	replace_logits_cosine	010101010101	98.7%	56.2%	0.6%
107	40.6	50000	0.5	replace_logits_cosine	0101010101	95.7%	50.8%	2.2%
108	40.6	50000	0.5	replace_logits_cosine	10101010	95.2%	49.5%	2.6%
109	40.5	25000	0.25	replace_logits_cosine	01010101	92.5%	42.7%	4.7%
110	40.5	50000	0.75	replace_logits_cosine	11001100	92.4%	42.5%	4.7%
111	40.2	50000	0.5	generate_buckets	11001100	85.2%	15.6%	14.7%
112	40.0	25000	0.25	generate_buckets	0101010101	95.8%	51.6%	2.1%
113	39.4	50000	0.75	replace_logits_cosine	01010101	91.6%	41.7%	5.3%
114	39.2	10000	0.25	replace_logits_cosine	11001100	90.9%	39.6%	6.0%
115	39.2	50000	0.25	generate_buckets	0101010101	95.3%	51.2%	2.4%
116	38.7	10000	0.75	replace_logits_cosine	01010101	90.7%	39.6%	6.2%
117	38.2	25000	0.75	replace_logits_cosine	01010101	91.2%	41.9%	5.6%
118	37.6	50000	0.25	replace_logits_cosine	11001100	91.9%	44.5%	4.9%
119	37.5	10000	0.25	replace_logits_cosine	1010101010	98.1%	59.1%	0.8%
120	37.2	10000	0.75	replace_logits_cosine	1010101010	99.1%	61.1%	0.4%
121	35.6	50000	0.25	replace_logits_cosine	10101010	93.2%	50.4%	3.6%
122	35.1	50000	0.25	replace_logits_cosine	01010101	90.5%	43.5%	6.0%
123	34.9	25000	0.75	generate_buckets	010101010101	99.6%	64.4%	0.1%
124	34.6	25000	0.25	replace_logits_cosine	1010101010	99.0%	63.6%	0.4%
125	34.6	10000	0.5	replace_logits_cosine	1010101010	98.7%	63.2%	0.5%
126	34.6	50000	0.75	generate_buckets	010101010101	99.0%	63.7%	0.4%
127	34.5	25000	0.5	generate_buckets	001100110011	99.5%	64.6%	0.2%
128	34.4	10000	0.75	generate_buckets	001100110011	99.6%	64.9%	0.1%
129	34.3	25000	0.5	replace_logits_cosine	1010101010	98.5%	63.1%	0.5%
130	34.1	25000	0.75	generate_buckets	001100110011	99.5%	65.1%	0.2%
131	34.0	10000	0.75	generate_buckets	010101010101	99.4%	64.9%	0.2%
132	33.9	25000	0.75	replace_logits_cosine	1010101010	99.2%	64.7%	0.3%
133	33.9	50000	0.75	replace_logits_cosine	1010101010	99.2%	64.8%	0.3%
134	33.9	50000	0.75	generate_buckets	001100110011	98.9%	64.2%	0.4%
135	33.7	25000	0.25	generate_buckets	010101010101	98.6%	63.8%	0.5%
136	33.7	25000	0.25	generate_buckets	11001100	83.3%	15.8%	16.9%
137	33.6	10000	0.5	generate_buckets	001100110011	99.4%	65.4%	0.2%
138	33.4	50000	0.5	replace_logits_cosine	1010101010	98.8%	64.6%	0.4%
139	33.3	50000	0.5	generate_buckets	010101010101	98.6%	64.3%	0.5%
140	33.2	50000	0.5	generate_buckets	001100110011	98.4%	64.0%	0.6%
141	33.1	50000	0.25	generate_buckets	010101010101	98.5%	64.4%	0.5%
142	33.1	25000	0.5	generate_buckets	010101010101	98.9%	65.0%	0.4%
143	33.0	10000	0.25	generate_buckets	010101010101	98.2%	63.8%	0.7%
144	33.0	10000	0.5	generate_buckets	010101010101	98.7%	64.8%	0.5%
145	32.7	10000	0.25	generate_buckets	001100110011	98.5%	64.9%	0.5%
146	32.5	50000	0.25	replace_logits_cosine	1010101010	97.9%	63.8%	0.8%
147	32.4	50000	0.25	generate_buckets	001100110011	97.6%	63.5%	0.9%
148	31.5	10000	0.5	replace_logits_cosine	01010101	88.0%	40.2%	8.1%
149	31.2	25000	0.25	generate_buckets	001100110011	98.4%	66.1%	0.5%
150	30.6	25000	0.5	replace_logits_cosine	01010101	88.2%	42.2%	7.7%
151	29.3	10000	0.25	replace_logits_cosine	101010101010	99.0%	69.1%	0.3%
152	29.0	10000	0.25	generate_buckets	11001100	82.0%	16.4%	18.3%
153	28.5	10000	0.5	replace_logits_cosine	101010101010	99.5%	70.6%	0.2%
154	28.5	10000	0.75	replace_logits_cosine	101010101010	99.8%	71.2%	0.1%
155	28.5	50000	0.25	generate_buckets	11001100	81.8%	15.8%	18.8%
156	25.6	50000	0.5	replace_logits_cosine	101010101010	99.7%	74.0%	0.1%
157	25.3	50000	0.75	replace_logits_cosine	101010101010	99.8%	74.3%	0.1%
158	25.2	25000	0.25	replace_logits_cosine	101010101010	99.1%	73.4%	0.3%
159	25.2	50000	0.25	replace_logits_cosine	101010101010	99.0%	73.3%	0.3%
160	25.2	25000	0.5	replace_logits_cosine	101010101010	99.5%	74.1%	0.1%
161	25.1	25000	0.75	replace_logits_cosine	101010101010	99.5%	74.2%	0.1%
162	24.4	50000	0.5	replace_logits_cosine	01010101	86.3%	44.1%	8.9%
163	17.5	10000	0.75	replace_logits	0011001100	98.5%	80.4%	0.3%
164	16.0	25000	0.75	replace_logits	0011001100	98.5%	81.9%	0.3%
165	14.4	50000	0.5	replace_logits	0011001100	98.3%	83.3%	0.3%
166	14.3	25000	0.5	replace_logits	0011001100	98.0%	83.0%	0.4%
167	13.8	10000	0.5	replace_logits	0011001100	97.6%	82.9%	0.4%
168	12.8	50000	0.75	replace_logits	0011001100	97.6%	84.0%	0.4%
169	12.0	10000	0.75	replace_logits	101010101010	99.0%	86.7%	0.1%
170	10.8	50000	0.25	replace_logits	0011001100	95.4%	83.0%	0.8%
171	10.5	25000	0.75	replace_logits	1010101010	97.3%	86.0%	0.4%
172	10.2	25000	0.75	replace_logits	101010101010	99.5%	89.2%	0.1%
173	10.1	25000	0.5	replace_logits	1010101010	96.8%	85.7%	0.5%
174	10.0	10000	0.5	replace_logits	1010101010	96.3%	85.1%	0.6%
175	9.7	10000	0.5	replace_logits	001100110011	100.0%	90.3%	0.0%
176	9.7	10000	0.5	replace_logits	101010101010	98.2%	88.2%	0.2%
177	9.4	25000	0.5	replace_logits	101010101010	97.9%	87.9%	0.3%
178	9.4	50000	0.75	replace_logits	101010101010	98.6%	88.9%	0.2%
179	9.4	10000	0.75	replace_logits	1010101010	96.1%	85.5%	0.6%
180	8.9	50000	0.5	replace_logits	101010101010	98.5%	89.3%	0.2%
181	8.8	50000	0.25	replace_logits	101010101010	97.9%	88.6%	0.2%
182	8.5	10000	0.25	replace_logits	001100110011	100.0%	91.5%	0.0%
183	8.5	10000	0.25	replace_logits	101010101010	100.0%	91.5%	0.0%
184	8.5	10000	0.25	replace_logits	11001100	90.9%	78.0%	2.2%
185	8.4	50000	0.75	replace_logits	1010101010	96.3%	86.9%	0.5%
186	8.1	10000	0.25	replace_logits	1010101010	94.4%	84.5%	0.9%
187	8.0	10000	0.25	replace_logits	0101010101	100.0%	92.0%	0.0%
188	7.4	50000	0.5	replace_logits	1010101010	95.7%	87.1%	0.6%
189	7.1	10000	0.75	replace_logits	001100110011	100.0%	92.9%	0.0%
190	6.9	50000	0.25	replace_logits	1010101010	94.7%	86.3%	0.8%
191	6.8	25000	0.5	replace_logits	001100110011	99.0%	92.1%	0.1%
192	6.5	10000	0.75	replace_logits	010101010101	100.0%	93.5%	0.0%
193	6.3	10000	0.5	replace_logits	0101010101	98.3%	91.7%	0.1%
194	6.2	50000	0.75	replace_logits	001100110011	98.7%	92.2%	0.1%
195	6.1	25000	0.75	replace_logits	001100110011	99.2%	93.0%	0.1%
196	6.0	10000	0.5	replace_logits	010101010101	100.0%	94.0%	0.0%
