rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR	PplRatio
61	56.7	10000	0.25	replace_logits_cosine	0011001100	99.1%	49.9%	0.5%	1.660
62	56.4	10000	0.25	replace_logits_cosine	001100110011	98.2%	50.2%	0.9%	1.597
63	56.1	10000	0.75	generate_buckets	11001100	90.1%	15.5%	9.3%	3.657
64	55.8	25000	0.75	replace_logits_cosine	11001100	93.8%	39.9%	4.0%	1.607
65	55.6	50000	0.25	generate_buckets	10101010	89.6%	14.1%	10.0%	2.360
66	55.4	50000	0.25	generate_buckets	1010101010	95.9%	34.8%	2.8%	2.190
67	55.1	10000	0.5	generate_buckets	01010101	95.1%	33.0%	3.5%	2.275
68	54.8	25000	0.75	generate_buckets	0011001100	99.2%	43.5%	0.5%	2.020
69	54.4	25000	0.25	replace_logits_cosine	01010101	92.5%	42.7%	4.7%	1.443
70	54.3	50000	0.5	generate_buckets	01010101	94.4%	32.1%	4.0%	2.502
71	54.2	25000	0.25	generate_buckets	10101010	90.0%	17.5%	9.2%	2.058
72	54.2	50000	0.75	replace_logits_cosine	0101010101	98.2%	50.7%	0.9%	1.662
73	54.2	50000	0.5	replace_logits_cosine	0101010101	95.7%	50.8%	2.2%	1.457
74	54.1	25000	0.25	replace_logits_cosine	001100110011	98.9%	54.6%	0.5%	1.568
75	53.9	50000	0.25	replace_logits_cosine	001100110011	99.2%	52.5%	0.4%	1.679
76	53.8	10000	0.75	generate_buckets	0011001100	99.1%	44.4%	0.5%	3.192
77	53.5	10000	0.5	replace_logits_cosine	10101010	96.5%	46.6%	1.9%	1.705
78	53.5	25000	0.25	replace_logits_cosine	10101010	95.3%	48.7%	2.5%	1.526
79	53.3	25000	0.25	generate_buckets	0011001100	96.3%	43.7%	2.1%	1.801
80	52.8	50000	0.75	generate_buckets	0011001100	98.5%	43.9%	0.9%	2.838
81	52.7	10000	0.25	generate_buckets	0011001100	97.0%	43.3%	1.8%	1.898
82	52.7	25000	0.5	generate_buckets	01010101	94.1%	33.2%	4.2%	2.169
83	52.4	25000	0.5	generate_buckets	0011001100	98.5%	44.5%	0.8%	2.363
84	51.3	10000	0.75	replace_logits_cosine	01010101	90.7%	39.6%	6.2%	1.497
85	51.1	50000	0.5	generate_buckets	0011001100	97.9%	44.4%	1.2%	2.852
86	51.1	50000	0.25	replace_logits_cosine	0011001100	98.7%	54.6%	0.6%	1.669
87	51.0	25000	0.25	replace_logits_cosine	11001100	92.8%	40.8%	4.6%	1.672
88	50.8	50000	0.75	replace_logits_cosine	10101010	96.3%	49.5%	1.9%	1.684
89	50.5	10000	0.5	replace_logits_cosine	11001100	93.3%	37.0%	4.5%	1.867
90	49.6	10000	0.5	generate_buckets	0011001100	98.5%	47.2%	0.8%	2.989
91	49.6	25000	0.5	replace_logits_cosine	1010101010	98.5%	63.1%	0.5%	1.390
